date,salescount
4/20/2018,38
4/21/2018,31
4/22/2018,29
4/23/2018,46
4/24/2018,35
4/25/2018,42
4/26/2018,38
4/27/2018,25
4/28/2018,23
4/29/2018,18
4/30/2018,35
5/1/2018,33
5/2/2018,43
5/3/2018,37
5/4/2018,49
5/5/2018,29
5/6/2018,23
5/7/2018,22
5/8/2018,42
5/9/2018,49
5/10/2018,36
5/11/2018,38
5/12/2018,24
5/13/2018,20
5/14/2018,29
5/15/2018,37
5/16/2018,28
5/17/2018,40
5/18/2018,50
5/19/2018,30
5/20/2018,20
5/21/2018,31
5/22/2018,44
5/23/2018,51
5/24/2018,44
5/25/2018,30
5/26/2018,22
5/27/2018,15
5/28/2018,25
5/29/2018,40
5/30/2018,37
5/31/2018,48
6/1/2018,43
6/2/2018,28
6/3/2018,12
6/4/2018,48
6/5/2018,47
6/6/2018,50
6/7/2018,44
6/8/2018,30
6/9/2018,25
6/10/2018,28
6/11/2018,46
6/12/2018,36
6/13/2018,52
6/14/2018,36
6/15/2018,30
6/16/2018,25
6/17/2018,18
6/18/2018,47
6/19/2018,44
6/20/2018,42
6/21/2018,54
6/22/2018,40
6/23/2018,30
6/24/2018,22
6/25/2018,45
6/26/2018,51
6/27/2018,38
6/28/2018,32
6/29/2018,38
6/30/2018,20
7/1/2018,27
7/2/2018,41
7/3/2018,37
7/4/2018,0
7/5/2018,39
7/6/2018,45
7/7/2018,24
7/8/2018,23
7/9/2018,42
7/10/2018,38
7/11/2018,50
7/12/2018,35
7/13/2018,38
7/14/2018,40
7/15/2018,21
7/16/2018,46
7/17/2018,39
7/18/2018,50
7/19/2018,59
7/20/2018,36
7/21/2018,35
7/22/2018,29
7/23/2018,57
7/24/2018,49
7/25/2018,62
7/26/2018,51
7/27/2018,36
7/28/2018,36
7/29/2018,37
7/30/2018,51
7/31/2018,42
8/1/2018,63
8/2/2018,48
8/3/2018,42
8/4/2018,31
8/5/2018,14
8/6/2018,45
8/7/2018,44
8/8/2018,65
8/9/2018,64
8/10/2018,50
8/11/2018,26
8/12/2018,27
8/13/2018,46
8/14/2018,37
8/15/2018,60
8/16/2018,45
8/17/2018,46
8/18/2018,27
8/19/2018,26
8/20/2018,49
8/21/2018,46
8/22/2018,61
8/23/2018,52
8/24/2018,45
8/25/2018,28
8/26/2018,29
8/27/2018,55
8/28/2018,51
8/29/2018,47
8/30/2018,48
8/31/2018,44
9/1/2018,25
9/2/2018,19
9/3/2018,0
9/4/2018,52
9/5/2018,40
9/6/2018,66
9/7/2018,40
9/8/2018,30
9/9/2018,32
9/10/2018,48
9/11/2018,64
9/12/2018,46
9/13/2018,41
9/14/2018,46
9/15/2018,39
9/16/2018,34
9/17/2018,48
9/18/2018,47
9/19/2018,48
9/20/2018,41
9/21/2018,40
9/22/2018,38
9/23/2018,23
9/24/2018,55
9/25/2018,54
9/26/2018,48
9/27/2018,51
9/28/2018,41
9/29/2018,21
9/30/2018,31
10/1/2018,42
10/2/2018,39
10/3/2018,48
